linkid,道路等级,通行方向,功能等级,禁止超车,是否包含停车场,限速值,,车道数,
692086,1,3,1,,0,900,,3,
709640,1,3,1,,0,900,,3,
709639,1,3,1,,0,900,,3,
87767950,1,2,2,,0,600,,1,
87767951,1,2,2,,0,600,,1,
711201,1,2,2,,0,300,,1,
711191,1,2,3,,0,300,,1,
41774941,1,2,3,,0,300,,1,
41774942,1,2,3,,0,300,,1,
702581,6,3,3,,0,400,,2,
62118094,6,1,3,,0,400,,1,2
62118093,6,1,3,,0,400,,1,2
648707,6,1,3,,0,400,,2,1
41774950,6,1,3,,0,400,,2,1
41774949,6,1,3,,0,400,,2,1
696572,6,1,3,,0,400,,1,
688973,6,1,3,,0,400,,1,
87767943,6,1,3,,0,400,,1,
87764942,6,2,5,,0,300,,2,
87767945,6,1,3,,0,400,,1,
87767944,6,1,3,,0,400,,1,
701774,6,1,3,,0,400,,1,
701773,6,1,3,,0,400,,1,
701772,6,1,3,,0,400,,1,
701771,6,1,3,,0,400,,1,
701769,6,1,3,,0,400,,1,
701770,6,1,3,,0,400,,1,
701768,6,1,3,,0,400,,1,
84970189,6,1,3,,0,400,,1,
84970190,6,1,3,,0,400,,1,
693684,6,3,3,,0,600,,2,
690949,6,3,3,,0,600,,2,
692591,6,3,3,,0,600,,2,
699686,6,3,3,,0,600,,2,
687977,6,1,4,,0,400,,1,
687979,6,1,4,,0,400,,1,
65630390,6,1,4,,0,400,,1,
65630391,6,1,4,,0,400,,1,
701044,6,1,4,,0,400,,1,
71874287,6,1,4,,0,400,,1,
692587,6,1,4,,0,400,,2,1
710836,3,1,4,,0,400,,1,
31909270,3,3,3,,0,600,,2,
31909242,3,2,3,,0,500,,1,
31909244,3,2,3,,0,500,,1,
31909246,3,2,3,,0,500,,1,
31909248,3,2,3,,0,500,,1,
31909250,3,2,3,,0,500,,1,
31909252,3,2,3,,0,500,,1,
31909254,3,2,3,,0,500,,1,
31909256,3,2,3,,0,500,,1,
31909258,3,2,3,,0,500,,1,
31909260,3,2,3,,0,500,,1,
31909267,3,2,3,,0,500,,1,
74772003,3,2,3,,0,500,,1,
74772004,3,2,3,,0,500,,1,
43345442,3,2,3,,0,500,,1,
43345443,3,2,3,,0,500,,1,
19258006,3,1,3,,0,500,,1,
70618217,3,1,3,,0,500,,1,
62117917,3,1,3,,0,500,,2,
62117916,3,1,3,,0,500,,2,
84970221,3,1,3,,0,500,,1,2
85047394,3,1,3,,0,500,600,1,2
70618268,3,1,3,,0,500,600,1,2
31909271,3,1,3,,0,500,600,1,2
31909272,3,1,3,,0,500,600,1,
12874187,3,1,3,,0,600,500,1,
12874186,3,1,3,,0,600,500,1,
689594,3,1,3,,0,600,500,1,
689593,3,1,3,,0,600,500,1,
12874193,3,1,3,,0,600,500,1,
12874192,3,1,3,,0,600,500,1,
50047686,3,1,3,,0,600,500,1,
19232109,3,1,3,,0,600,500,1,
19232114,3,3,3,,0,600,,2,
19232125,3,3,3,,0,600,,2,
19232124,3,3,3,,0,600,,2,
19232120,3,3,3,,0,500,,2,
19232119,3,3,3,,0,500,,1,
60435100,3,1,3,,0,500,600,1,
60435099,3,1,3,,0,500,600,1,2
19232103,3,2,3,,0,600,,2,
19232104,3,2,3,,0,600,,2,
15544590,3,2,3,,0,600,,2,
19232098,3,2,3,,0,600,,2,
19232099,3,2,3,,0,600,,2,
14190662,3,3,3,,0,600,,2,
14190661,3,3,3,,0,600,,2,
14190655,3,3,3,,0,600,,2,
14190653,3,3,3,,0,600,,2,
14190651,3,3,3,,0,600,,2,
14190649,3,3,3,,0,600,,2,
15544536,3,3,3,,0,600,,2,
61973037,3,3,3,,0,600,,2,
61973035,6,2,4,,0,500,,1,
61973027,6,2,4,,0,500,,1,
42306921,6,3,4,,0,500,,1,
42306920,6,3,4,,0,500,,1,
41171718,6,2,4,,0,500,,1,
41171719,6,2,4,,0,500,,1,
592261,6,2,4,,0,500,,1,
41575916,6,2,4,,0,500,,1,
41575917,6,2,4,,0,500,,1,
42306914,6,2,4,,0,500,,1,
42306915,6,2,4,,0,500,,1,
85281043,6,2,4,,0,500,,1,
591847,6,2,4,,0,500,,1,
25885609,6,1,4,,0,400,,1,
72494279,6,1,4,,0,400,,1,
72494280,6,1,4,,0,400,,1,
42847882,6,1,4,,0,400,,1,
42847881,6,1,4,,0,400,,1,
72494282,6,1,4,,0,400,,1,
72495735,6,2,4,,0,500,,1,
40334851,6,2,4,,0,500,,1,
25885591,6,2,4,,0,500,,1,
590627,6,2,4,,0,500,,1,
577452,6,2,4,,0,500,,1,
40334861,6,2,4,,0,500,,1,
40334862,6,2,4,,0,500,,1,
41575928,6,2,4,,0,500,,1,
41575929,6,2,4,,0,500,,1,
590625,6,2,4,,0,500,,1,
578747,6,2,2,,0,500,,2,
578753,6,2,2,,0,600,,3,
42328923,6,2,2,,0,600,,3,
74748341,6,2,2,,0,600,,3,
74748342,6,2,2,,0,600,,3,
76090427,6,2,2,,0,600,,2,
76090428,6,2,2,,0,600,,2,
14190630,6,2,2,,0,600,,5,
590486,6,2,2,,0,600,,5,
592263,6,2,2,,0,600,,5,
592173,3,2,2,,0,700,,3,
592305,3,2,2,,0,700,,4,
592306,3,2,2,,0,700,,4,
25885542,6,2,5,,0,500,,1,
25885608,6,1,5,,0,400,,1,
41774976,6,1,5,,0,400,,1,
